dataset,phylo_prec,phylo_rec,phylo_f1,tnet_prec,tnet_rec,tnet_f1
SIR003_sl1000_mr025_nv10_17,0.826,0.826,0.826,0.815,0.957,0.88
SIR003_sl1000_mr025_nv10_18,1,0.4,0.571,0.833,1,0.909
SIR003_sl1000_mr025_nv10_19,0.778,0.583,0.667,0.767,0.958,0.852
SIR003_sl1000_mr025_nv10_2,0.938,0.789,0.857,0.941,0.842,0.889
SIR003_sl1000_mr025_nv10_20,0.875,0.778,0.824,0.9,1,0.947
SIR003_sl1000_mr025_nv10_3,1,0.731,0.844,1,0.885,0.939
SIR003_sl1000_mr025_nv10_4,0.8,0.774,0.787,0.829,0.935,0.879
SIR003_sl1000_mr025_nv10_5,1,0.571,0.727,0.857,0.857,0.857
SIR003_sl1000_mr025_nv10_6,0.889,0.696,0.78,0.88,0.957,0.917
SIR003_sl1000_mr025_nv10_7,0.733,0.688,0.71,0.737,0.875,0.8
SIR003_sl1000_mr025_nv10_8,0.923,0.8,0.857,0.938,1,0.968
SIR003_sl1000_mr025_nv10_9,0.708,0.607,0.654,0.75,0.857,0.8
SIR003_sl1000_mr05_nv10_1,0.857,0.706,0.774,0.824,0.824,0.824
SIR003_sl1000_mr05_nv10_10,1,0.769,0.87,0.929,1,0.963
SIR003_sl1000_mr05_nv10_11,0.8,0.686,0.738,0.806,0.829,0.817
SIR003_sl1000_mr05_nv10_12,0.849,0.818,0.833,0.862,0.909,0.885
SIR003_sl1000_mr05_nv10_13,0.827,0.768,0.796,0.86,0.875,0.867
SIR003_sl1000_mr05_nv10_14,1,0.8,0.889,1,1,1
SIR003_sl1000_mr05_nv10_15,0.917,0.846,0.88,0.867,1,0.929
SIR003_sl1000_mr05_nv10_16,0.87,0.8,0.833,0.793,0.92,0.852
SIR003_sl1000_mr05_nv10_17,0.75,0.429,0.545,0.786,0.786,0.786
SIR003_sl1000_mr05_nv10_18,0.933,0.609,0.737,0.87,0.87,0.87
SIR003_sl1000_mr05_nv10_19,0.882,0.811,0.845,0.833,0.946,0.886
SIR003_sl1000_mr05_nv10_2,0.909,0.667,0.769,0.938,1,0.968
SIR003_sl1000_mr05_nv10_20,0.5,0.333,0.4,0.778,0.778,0.778
SIR003_sl1000_mr05_nv10_3,0.875,0.7,0.778,0.833,1,0.909
SIR003_sl1000_mr05_nv10_4,1,0.846,0.917,1,1,1
SIR003_sl1000_mr05_nv10_5,0.634,0.565,0.598,0.667,0.783,0.72
